,batch,file,Sam's numbers,Anna's numbers,quality key,consensus
383,38,lst_15:51:50_2021_08_16.tif,1,,,
384,38,lst_15:54:01_2019_08_02.tif,0,,,
385,38,lst_15:54:49_2018_08_04.tif,0,,,
386,38,lst_16:07:22_2020_08_15.tif,0,,,
387,38,lst_16:10:34_2021_05_29.tif,1,,,
388,38,lst_16:15:48_2021_07_28.tif,0,,,
389,38,lst_16:16:17_2020_05_29.tif,0,,,
390,38,lst_16:16:40_2021_07_28.tif,0,,,
391,39,lst_16:23:02_2019_06_01.tif,1,,,
392,39,lst_16:28:57_2021_04_15.tif,1,,,
393,39,lst_16:29:22_2020_06_16.tif,0,,,
394,39,lst_16:29:38_2021_06_14.tif,0,,,
395,39,lst_16:29:49_2021_04_15.tif,1,,,
396,39,lst_16:30:58_2020_09_27.tif,2,2,0,2
397,39,lst_16:31:40_2019_08_17.tif,0,,,
398,39,lst_16:32:32_2019_08_17.tif,0,,,
399,39,lst_16:33:30_2021_09_26.tif,2,2,,2
400,39,lst_16:34:59_2018_08_20.tif,0,,,
401,40,lst_16:35:51_2018_08_20.tif,0,,,
402,40,lst_16:36:38_2021_08_13.tif,1,,,
403,40,lst_16:38:34_2020_07_29.tif,0,,,
404,40,lst_16:49:30_2020_04_15.tif,0,,,
405,40,lst_16:50:22_2020_04_15.tif,0,,,
406,40,lst_16:53:01_2019_09_28.tif,0,,,
407,40,lst_16:53:53_2019_09_28.tif,0,,,
408,40,lst_16:54:08_2018_08_01.tif,2,2,2,2
409,40,lst_16:54:33_2020_08_14.tif,1,,,
410,40,lst_16:55:25_2020_08_14.tif,1,,,
411,41,lst_16:55:52_2021_05_26.tif,1,,,
412,41,lst_16:57:34_2019_06_16.tif,0,,,
413,41,lst_17:03:29_2021_07_27.tif,0,,,
414,41,lst_17:04:19_2020_05_28.tif,1,,,
415,41,lst_17:14:32_2021_04_12.tif,0,,,
416,41,lst_17:14:56_2019_05_29.tif,0,,,
417,41,lst_17:15:40_2020_06_13.tif,0,,,
418,41,lst_17:16:32_2020_06_13.tif,0,,,
419,41,lst_17:17:11_2021_06_13.tif,0,,,
420,41,lst_17:20:49_2021_09_25.tif,0,,,
421,42,lst_17:21:54_2019_08_14.tif,1,,,
422,42,lst_17:23:45_2021_08_12.tif,0,,,
423,42,lst_17:24:37_2021_08_12.tif,1,,,
424,42,lst_17:25:12_2020_07_26.tif,0,,,
425,42,lst_17:25:50_2022_04_12.tif,0,,,
426,42,lst_17:36:35_2019_07_27.tif,0,,,
427,42,lst_17:40:58_2020_08_11.tif,1,,,
428,42,lst_17:43:18_2021_05_25.tif,2,2,,2
429,42,lst_17:45:43_2018_07_31.tif,0,,,
430,42,lst_17:48:32_2021_07_24.tif,2,2,2,2
431,43,lst_17:49:08_2019_06_13.tif,0,,,
432,43,lst_17:50:46_2020_05_25.tif,2,2,2,2
433,43,lst_17:53:08_2018_07_29.tif,0,,,
434,43,lst_17:54:00_2018_07_29.tif,0,,,
435,43,lst_18:00:35_2018_09_27.tif,0,,,
436,43,lst_18:01:27_2018_09_27.tif,0,,,
437,43,lst_18:02:43_2020_09_23.tif,1,,,
438,43,lst_18:03:35_2020_09_23.tif,0,,,
439,43,lst_18:04:21_2019_05_28.tif,0,,,
440,43,lst_18:05:14_2021_09_22.tif,0,,,
441,44,lst_18:06:06_2021_09_22.tif,0,,,
442,44,lst_18:06:35_2019_05_26.tif,0,,,
443,44,lst_18:09:12_2021_08_09.tif,1,,,
444,44,lst_18:22:26_2020_04_11.tif,0,,,
445,44,lst_18:25:53_2019_07_26.tif,1,1,,
446,44,lst_18:28:09_2020_08_10.tif,0,,,
447,44,lst_18:28:32_2021_05_22.tif,0,,,
448,44,lst_18:29:01_2020_08_10.tif,0,,,
449,44,lst_18:34:10_2018_08_14.tif,0,0,,
450,44,lst_18:35:48_2021_07_23.tif,0,,,
451,45,lst_18:38:16_2019_06_12.tif,0,,,
452,45,lst_18:38:45_2020_05_24.tif,0,,,
453,45,lst_18:39:08_2019_06_12.tif,0,,,
454,45,lst_18:44:58_2018_07_28.tif,0,,,
455,45,lst_18:45:50_2018_07_28.tif,1,,,
456,45,lst_18:47:02_2021_04_08.tif,1,,,
457,45,lst_18:50:15_2020_09_22.tif,0,,,
458,45,lst_18:51:11_2020_06_09.tif,0,,,
459,45,lst_18:52:06_2021_09_21.tif,0,,,
